age,juv_crime,prior=0,prior=1,prior2-3,prior>3,two_year_recid
69,0,1,0,0,0,0
34,0,1,0,0,0,1
24,1,0,0,0,1,1
23,1,0,1,0,0,0
43,0,0,0,1,0,0
44,0,1,0,0,0,0
41,0,0,0,0,1,1
43,0,0,0,1,0,0
39,0,1,0,0,0,0
21,0,0,1,0,0,1
27,0,1,0,0,0,0
23,0,0,0,1,0,1
37,0,1,0,0,0,0
41,0,1,0,0,0,0
47,0,0,1,0,0,1
31,0,0,0,0,1,1
37,0,1,0,0,0,0
25,0,0,0,1,0,0
31,0,0,0,0,1,1
31,0,0,0,0,1,1
64,0,0,0,0,1,1
21,0,0,1,0,0,1
27,0,1,0,0,0,1
21,0,1,0,0,0,0
24,0,0,1,0,0,1
43,0,0,1,0,0,0
32,0,1,0,0,0,0
27,0,0,0,0,1,1
36,0,0,0,1,0,0
26,1,0,0,0,1,1
33,0,1,0,0,0,1
30,0,0,0,0,1,1
32,0,0,0,0,1,1
55,0,1,0,0,0,0
49,0,0,0,0,1,1
26,2,0,0,0,1,0
33,0,0,0,0,1,1
24,0,0,1,0,0,1
34,6,0,0,0,1,1
29,0,1,0,0,0,0
21,0,0,0,1,0,0
51,0,0,0,1,0,0
29,0,0,0,1,0,1
51,0,0,0,0,1,0
29,0,1,0,0,0,1
25,0,0,0,0,1,1
35,5,0,0,0,1,1
49,0,1,0,0,0,0
34,0,0,0,0,1,1
29,0,1,0,0,0,0
29,0,0,1,0,0,1
28,0,1,0,0,0,0
48,0,0,0,0,1,1
63,0,0,1,0,0,0
31,1,0,0,0,1,0
24,0,0,0,1,0,1
30,0,1,0,0,0,0
49,0,0,0,0,1,0
53,0,0,0,0,1,0
35,0,0,0,0,1,0
63,0,0,0,0,1,1
27,4,0,0,0,1,1
38,0,0,0,0,1,1
22,1,0,1,0,0,1
22,3,0,0,1,0,1
29,0,0,0,0,1,1
62,0,1,0,0,0,0
27,1,0,0,0,1,1
33,0,1,0,0,0,0
56,0,1,0,0,0,0
45,0,0,0,0,1,1
22,0,0,1,0,0,0
39,0,0,1,0,0,0
29,0,0,0,0,1,1
27,1,0,1,0,0,1
40,0,0,0,1,0,0
22,0,0,1,0,0,1
22,0,1,0,0,0,0
26,0,0,1,0,0,1
27,0,0,1,0,0,1
32,0,1,0,0,0,0
41,0,0,1,0,0,0
30,0,0,0,0,1,1
50,0,1,0,0,0,1
25,8,0,0,0,1,1
20,0,1,0,0,0,1
22,1,0,0,1,0,1
23,1,0,0,1,0,1
35,0,0,1,0,0,0
36,0,0,0,0,1,1
26,0,0,0,0,1,1
21,0,0,1,0,0,1
25,0,0,0,0,1,1
71,0,0,0,0,1,0
20,0,1,0,0,0,0
39,0,0,0,1,0,1
66,0,0,0,1,0,0
54,0,1,0,0,0,0
44,0,1,0,0,0,0
19,0,0,1,0,0,1
24,0,0,1,0,0,0
30,0,0,1,0,0,0
39,0,1,0,0,0,1
24,3,0,0,0,1,1
30,0,1,0,0,0,0
31,0,1,0,0,0,0
39,0,0,1,0,0,0
59,0,0,0,0,1,1
43,0,0,1,0,0,0
21,0,0,0,1,0,1
38,0,0,0,0,1,1
34,0,1,0,0,0,0
33,0,0,0,0,1,1
37,0,0,0,1,0,0
42,0,0,1,0,0,1
41,1,0,0,0,1,1
22,0,1,0,0,0,1
33,14,0,0,0,1,1
31,0,0,1,0,0,0
30,0,0,1,0,0,0
31,0,0,0,0,1,1
27,0,0,0,1,0,1
56,0,0,0,0,1,0
52,0,0,0,1,0,0
33,0,0,0,0,1,1
64,0,0,0,1,0,0
22,0,0,0,0,1,1
